"ccode","county","province","eligible","Bartoszewicz","Biejat","Braun","Hołownia","Jakubiak","Maciak","Mentzen","Nawrocki","Senyszyn","Stanowski","Trzaskowski","Woch","Zandberg","eligible2","spoilt","N2","T2"
20100,"bolesławiecki","dolnośląskie",65950,166,1371,2790,1692,231,90,6700,11585,374,452,13643,42,1521,65527,347,21717,20946
20200,"dzierżoniowski","dolnośląskie",72535,222,1580,2770,1729,255,70,6064,12960,387,483,15332,29,1537,71928,426,22827,23370
20300,"głogowski","dolnośląskie",63792,181,1562,2240,1924,276,77,5867,12546,352,455,13793,33,1744,63088,367,22223,21203
20400,"górowski","dolnośląskie",25134,58,589,1059,554,113,34,2435,4572,131,133,3900,12,541,24781,121,8839,6255
20500,"jaworski","dolnośląskie",36841,104,809,1554,912,133,43,3246,7266,184,222,6678,26,799,36460,207,12902,10747
20600,"karkonoski","dolnośląskie",48363,172,1329,1686,1330,212,56,3579,6598,308,336,13235,25,1160,49549,287,12516,20869
20700,"kamiennogórski","dolnośląskie",31309,62,838,1077,812,104,33,2571,5232,171,174,6900,14,679,31147,189,9497,10532
20800,"kłodzki","dolnośląskie",117776,355,2545,4677,2976,475,130,9006,19451,600,685,26119,65,2229,117682,718,35713,39876
20900,"legnicki","dolnośląskie",41471,128,775,1652,1165,185,67,4480,8406,256,286,7644,22,962,41196,228,15599,12195
21000,"lubański","dolnośląskie",40168,111,938,1285,990,148,49,3305,6593,256,247,8811,14,825,40149,217,11886,13871
21100,"lubiński","dolnośląskie",77231,206,1753,2963,2155,331,87,7679,16626,447,632,15784,38,2080,76486,448,29889,24233
21200,"lwówecki","dolnośląskie",33440,101,718,1411,749,156,37,2455,5528,187,183,6769,9,697,33018,175,9863,10546
21300,"milicki","dolnośląskie",27887,48,618,1071,802,115,46,2985,5192,186,144,4879,21,679,27618,148,9907,8061
21400,"oleśnicki","dolnośląskie",81448,245,2462,2539,2660,396,117,8083,13844,491,593,17898,45,2181,80749,465,25898,28859
21500,"oławski","dolnośląskie",57918,224,1538,2577,1758,278,90,5982,11008,427,477,12741,42,1822,57545,326,20384,20647
21600,"polkowicki","dolnośląskie",45500,135,935,2066,1214,191,52,4926,10562,223,354,6838,18,1111,45065,260,19085,11462
21700,"strzeliński","dolnośląskie",33742,67,650,1307,875,140,53,3366,7221,167,242,6277,17,759,33514,192,12761,9911
21800,"średzki","dolnośląskie",44440,121,1162,1748,1355,222,53,5148,8386,363,347,9290,29,1256,44322,291,16137,15189
21900,"świdnicki","dolnośląskie",114466,370,2730,4043,3035,441,134,9864,20117,680,755,26664,51,2757,113174,723,35417,40725
22000,"trzebnicki","dolnośląskie",67195,205,1867,2794,2058,373,71,7045,13066,475,521,14468,46,2099,66971,459,24365,23580
22100,"wałbrzyski","dolnośląskie",40607,118,989,1556,1128,160,58,3031,5577,258,282,9694,21,855,40172,274,10668,14733
